Date,Close,High,Low,Open,Volume
2024-01-01,3549.36328125,3568.827830608396,3513.879802945062,3529.712285492124,825907
2024-01-02,3523.37890625,3549.3629379884974,3508.5243592421702,3549.3629379884974,1344068
2024-01-03,3438.20947265625,3512.8084878989966,3433.8323028478494,3508.2914833063164,1803075
2024-01-04,3414.97314453125,3463.58813008378,3400.258204607658,3447.522818106381,3598144
2024-01-05,3481.190185546875,3490.3638028676905,3422.4704854443794,3422.6100928660567,1963127
2024-01-08,3425.683349609375,3482.913067622964,3420.188410832366,3481.190030173045,1067805
2024-01-09,3436.48681640625,3494.648088677372,3429.8279514524115,3455.1598780853456,1370944
2024-01-10,3458.047119140625,3473.134498449665,3434.717444602096,3436.5800896371293,1292227
2024-01-11,3479.001708984375,3513.879690118427,3452.412406909358,3468.244888948058,1777909
2024-01-12,3616.138916015625,3637.0470599000287,3559.142026578151,3583.728848728073,6813450
2024-01-15,3635.69677734375,3692.693668185015,3618.1878690791377,3688.037055740898,2801505
2024-01-16,3596.11572265625,3631.226536485312,3590.760618120525,3631.226536485312,1432672
2024-01-17,3617.814697265625,3641.4235811447375,3550.712880080797,3556.719863440637,3458696
2024-01-18,3634.5791015625,3640.353255305165,3596.7673189636566,3630.294927322717,2239110
2024-01-19,3697.834716796875,3717.059837136614,3671.576015845036,3699.66340196448,2941975
2024-01-23,3618.30810546875,3689.253392795468,3603.772039730458,3657.4617018928593,2618854
2024-01-24,3602.881103515625,3642.12834296067,3568.932402810829,3638.70542557381,2657709
2024-01-25,3573.340087890625,3620.8870436828015,3543.705178752416,3601.0991467069,2205154
2024-01-29,3564.61865234375,3582.4370565517297,3545.7218573588943,3564.4311359857325,1646747
2024-01-30,3564.1962890625,3608.507841994194,3551.488909043992,3570.6670909234226,1411621
2024-01-31,3578.638671875,3595.566200692752,3560.351363342525,3574.184071078628,2459358
2024-02-01,3614.463134765625,3662.057029330496,3568.4167652804376,3582.436989907515,2363107
2024-02-02,3719.638671875,3736.612908383376,3631.2030759637855,3634.063444426215,2826510
2024-02-05,3726.203125,3771.874458152277,3715.6996914451142,3735.299842570989,1691523
2024-02-06,3878.784912109375,3891.820388775413,3741.864554960447,3748.429229618272,4474396
2024-02-07,3829.4560546875,3896.603391231385,3820.593789517031,3894.727769863765,2124267
2024-02-08,3877.003173828125,3899.4167572083225,3831.9413254430674,3835.645631789812,2345173
2024-02-09,3876.628173828125,3924.503225662895,3845.0237708866407,3879.300567921934,2100596
2024-02-12,3864.43701171875,3900.9177589811775,3850.228812262782,3873.1584686878864,1013716
2024-02-13,3891.4453125,3910.670430925413,3827.674187966924,3868.8911494158415,1257415
2024-02-14,3845.11767578125,3858.997090733716,3797.6643636034514,3851.5884779156377,1391283
2024-02-15,3848.025146484375,3888.444422362778,3829.081186690457,3871.2826692770527,1091582
2024-02-16,3871.564208984375,3889.992557853304,3845.118218719311,3857.450339368081,1307556
2024-02-19,3848.58740234375,3871.563764701807,3802.8224229354896,3866.640258482223,772291
2024-02-20,3779.986572265625,3843.1482139238014,3760.6208730684352,3828.2371155114192,1193648
2024-02-21,3743.271728515625,3810.6535246443295,3733.049682596312,3763.434660286409,1885939
2024-02-22,3832.92578125,3840.287457059293,3724.0458793930648,3724.0458793930648,2982052
2024-02-23,3800.103271484375,3873.1586419368527,3794.757566705843,3873.1586419368527,2538072
2024-02-26,3752.2275390625,3798.133326938528,3735.065557497388,3785.003977166394,1379284
2024-02-27,3849.150146484375,3867.5313277921664,3750.3049902620937,3750.3049902620937,2960475
2024-02-28,3862.795654296875,3896.509674983892,3834.708040023188,3840.8976823678586,1939225
2024-02-29,3840.428955078125,3880.754817970432,3811.778790417747,3844.0863254782985,3772719
2024-03-01,3839.7255859375,3882.536555650418,3832.645068891089,3851.7765458152944,2043265
2024-03-04,3826.92431640625,3861.810830830789,3822.422778973925,3849.7131636292634,1749271
2024-03-05,3762.59033203125,3811.2626148853183,3732.486517530405,3809.386993519725,2070859
2024-03-06,3811.54443359375,3818.7655308738495,3712.277070045293,3745.663225699868,1744204
2024-03-07,3853.089111328125,3867.5313044415575,3786.598195707899,3812.200473461429,2688905
2024-03-11,3865.984130859375,3894.7279379757806,3834.70805162123,3834.70805162123,2304068
2024-03-12,3931.537353515625,3966.893004086542,3864.765040927229,3865.984469724928,4039801
2024-03-13,3890.976318359375,3977.254896640663,3874.939664943588,3943.493713834941,2837260
2024-03-14,3945.93212890625,3962.2499424114544,3831.894263832711,3895.149774481845,2919608
2024-03-15,3956.858154296875,3975.3799172991535,3917.235648633773,3931.865588461695,3373143
2024-03-18,3894.2587890625,3990.149929624002,3861.76374108121,3953.106408331295,1526904
2024-03-19,3729.954345703125,3805.6356194004047,3719.919817535177,3799.305397510077,8931209
2024-03-20,3723.9521484375,3768.123120804515,3713.917620462831,3738.113180569138,1817913
2024-03-21,3725.875,3759.120343748554,3702.476668668117,3741.911654661655,3829582
2024-03-22,3667.683837890625,3693.098599879169,3615.260310445454,3654.6483605203457,5852485
2024-03-26,3636.361083984375,3701.257540323518,3630.6872833100233,3634.016557173296,3440925
2024-03-27,3602.037353515625,3652.7730085811854,3591.2525294851544,3646.677238477006,1968575
2024-03-28,3635.235595703125,3671.528823337685,3601.661927465741,3610.665001604127,4311783
2024-04-01,3673.169921875,3688.690734171172,3646.254801582969,3655.304582916496,1569676
2024-04-02,3642.26904296875,3666.6990561572848,3632.140642171932,3648.083423198765,2142666
2024-04-03,3701.81982421875,3733.423995622008,3611.5086177192543,3611.5086177192543,3973090
2024-04-04,3754.337646484375,3778.1110105154903,3690.519582126367,3728.6414957560314,3394637
2024-04-05,3731.78369140625,3753.11888748076,3714.199738597588,3730.6114278856726,1636819
2024-04-08,3725.499755859375,3781.8620387375217,3713.7301863711327,3735.299831392985,2302538
2024-04-09,3701.116943359375,3766.107272056605,3680.954012876369,3736.2379090370728,1876992
2024-04-10,3736.84716796875,3742.052062941648,3674.342178842318,3710.354016730288,2101965
2024-04-12,3752.555419921875,3763.762440285618,3700.131896496917,3724.0460679227617,4354821
2024-04-15,3696.099609375,3811.4503293550783,3675.32719325435,3752.5557696224905,4200329
2024-04-16,3631.953369140625,3684.37689632826,3622.622198353119,3659.33739612377,3051420
2024-04-18,3621.82470703125,3691.222694685396,3610.5709793035503,3635.7043503536142,3476284
2024-04-19,3588.25146484375,3612.962869820078,3564.5248069516724,3599.317677543841,2957749
2024-04-22,3624.26318359375,3636.829754907987,3574.9342510854167,3598.3795176848757,1728883
2024-04-23,3633.73486328125,3652.772465181433,3620.5118705508353,3635.938809881825,1807586
2024-04-24,3592.800048828125,3655.586435007792,3586.610406072374,3648.0839487378935,1317312
2024-04-25,3612.63427734375,3632.7502707587055,3573.996522887852,3574.184039233437,2856271
2024-04-26,3583.703369140625,3635.704931875013,3566.072480422347,3615.40119081082,2039178
2024-04-29,3629.51513671875,3636.642590036905,3581.686788233394,3599.3176762116937,1110693
2024-04-30,3583.04638671875,3640.3467125091584,3573.058794270598,3631.2030581143713,2203078
2024-05-02,3623.044189453125,3630.359158838628,3543.095825813969,3543.095825813969,2491044
2024-05-03,3604.3818359375,3651.460119941865,3561.4302856696127,3648.22448960654,2962234
2024-05-06,3677.202392578125,3694.926921786494,3613.384333831176,3613.384333831176,2053831
